hosting_agent_email,property_full_address,start_time,end_time,cost,notes
damon.gonzalez618@dreamhomes.com,"473 Carolyn Avenue, Hoboken, NJ",2018-02-27 12:00:00,2018-02-27 15:00:00,388.59,Weekend open house with strong foot traffic
janet.kim9646@dreamhomes.com,"485 Schroeder Ramp, Newark, NJ",2018-04-12 11:00:00,2018-04-12 14:00:00,629.74,In-person showing window
kristen.woods6052@dreamhomes.com,"459 Anderson Prairie, Fort Lee, NJ",2018-05-18 13:00:00,2018-05-18 15:00:00,1030.11,Smaller attendance due to weather
katherine.miller6806@dreamhomes.com,"760 Chang Lodge, Bridgeport, CT",2018-06-06 11:00:00,2018-06-06 14:00:00,345.36,Broker open house with buyer pre-screening
jennifer.tran397@dreamhomes.com,"701 Tracy Ports, Bridgeport, CT",2018-06-25 14:00:00,2018-06-25 18:00:00,615.6,Broker open house with buyer pre-screening
julia.roberson8712@dreamhomes.com,"448 Palmer Shores, Hoboken, NJ",2018-06-30 12:00:00,2018-06-30 16:00:00,342.86,Weekend open house with strong foot traffic
jill.carrillo7109@dreamhomes.com,"326 Amy Greens, Brooklyn, NY",2018-08-30 12:00:00,2018-08-30 14:00:00,1188.28,Weekend open house with strong foot traffic
bryan.riddle4780@dreamhomes.com,"544 Martin Hills, Hoboken, NJ",2018-09-04 13:00:00,2018-09-04 16:00:00,937.7,In-person showing window
jill.carrillo7109@dreamhomes.com,"307 Candice Center, New York, NY",2018-10-06 12:00:00,2018-10-06 16:00:00,590.98,Smaller attendance due to weather
stanley.mooney4062@dreamhomes.com,"294 Vanessa Divide, Long Island City, NY",2019-02-06 12:00:00,2019-02-06 14:00:00,931.27,Broker open house with buyer pre-screening
karen.clark2103@dreamhomes.com,"489 Stuart Drives, Jersey City, NJ",2019-02-21 13:00:00,2019-02-21 15:00:00,309.86,Smaller attendance due to weather
kristen.woods6052@dreamhomes.com,"418 Brown Pike, Edgewater, NJ",2019-03-28 11:00:00,2019-03-28 13:00:00,602.52,Smaller attendance due to weather
frank.preston2605@dreamhomes.com,"326 Amy Greens, Brooklyn, NY",2019-04-12 12:00:00,2019-04-12 16:00:00,887.63,In-person showing window
frank.preston2605@dreamhomes.com,"314 Sawyer Common, Brooklyn, NY",2019-05-25 14:00:00,2019-05-25 16:00:00,386.25,Broker open house with buyer pre-screening
tina.ramirez1373@dreamhomes.com,"810 Johns Ports, Greenwich, CT",2019-07-04 11:00:00,2019-07-04 13:00:00,439.17,In-person showing window
frank.preston2605@dreamhomes.com,"138 Martin Lane, Brooklyn, NY",2019-09-29 11:00:00,2019-09-29 14:00:00,997.2,Weekend open house with strong foot traffic
jill.carrillo7109@dreamhomes.com,"111 Bryan Street, Long Island City, NY",2019-10-09 12:00:00,2019-10-09 15:00:00,1179.52,Broker open house with buyer pre-screening
jennifer.tran397@dreamhomes.com,"632 Gibbs Court, Norwalk, CT",2019-10-14 14:00:00,2019-10-14 17:00:00,295.69,In-person showing window
joshua.best1119@dreamhomes.com,"786 Lauren Junctions, Greenwich, CT",2019-10-15 13:00:00,2019-10-15 16:00:00,326.99,Broker open house with buyer pre-screening
tina.ramirez1373@dreamhomes.com,"749 David Mill, Greenwich, CT",2019-10-31 13:00:00,2019-10-31 17:00:00,920.84,Weekend open house with strong foot traffic
jill.carrillo7109@dreamhomes.com,"222 Kim Union, Queens, NY",2020-01-03 13:00:00,2020-01-03 17:00:00,449.05,Smaller attendance due to weather
jennifer.tran397@dreamhomes.com,"749 David Mill, Greenwich, CT",2020-06-24 13:00:00,2020-06-24 15:00:00,751.96,Smaller attendance due to weather
julia.roberson8712@dreamhomes.com,"385 Loretta Flats, Newark, NJ",2020-07-21 13:00:00,2020-07-21 16:00:00,721.1,Smaller attendance due to weather
katherine.miller6806@dreamhomes.com,"619 Roberts Corners, Norwalk, CT",2020-09-20 14:00:00,2020-09-20 16:00:00,967.84,Virtual registration required before visit
erica.rogers3495@dreamhomes.com,"129 Stephanie Union, New York, NY",2020-10-04 14:00:00,2020-10-04 18:00:00,158.18,Virtual registration required before visit
janet.kim9646@dreamhomes.com,"385 Loretta Flats, Newark, NJ",2020-10-09 14:00:00,2020-10-09 16:00:00,988.05,Weekend open house with strong foot traffic
angela.woods7376@dreamhomes.com,"129 Stephanie Union, New York, NY",2021-01-25 11:00:00,2021-01-25 14:00:00,679.54,Broker open house with buyer pre-screening
thomas.leach9910@dreamhomes.com,"510 Jackson Orchard, Jersey City, NJ",2021-03-14 11:00:00,2021-03-14 15:00:00,396.95,In-person showing window
tina.ramirez1373@dreamhomes.com,"606 Nancy Spur, Bridgeport, CT",2021-04-19 14:00:00,2021-04-19 18:00:00,784.99,Weekend open house with strong foot traffic
frank.preston2605@dreamhomes.com,"307 Candice Center, New York, NY",2021-06-08 11:00:00,2021-06-08 13:00:00,233.23,In-person showing window
sheila.byrd4387@dreamhomes.com,"617 Allen Mills, Greenwich, CT",2021-06-14 12:00:00,2021-06-14 16:00:00,1062.0,In-person showing window
jennifer.tran397@dreamhomes.com,"749 David Mill, Greenwich, CT",2021-06-26 12:00:00,2021-06-26 14:00:00,1172.99,Broker open house with buyer pre-screening
kristen.woods6052@dreamhomes.com,"397 Yolanda Branch, Edgewater, NJ",2021-07-31 12:00:00,2021-07-31 16:00:00,204.97,In-person showing window
