"agent_id","office_id","first_name","last_name","email","phone","hire_date","license_number","base_salary"
1,3,"Bryan","Riddle","bryan.riddle4780@dreamhomes.com","492-262-1850","2023-07-28","NJ-LIC-870575","108194.04"
2,6,"Jennifer","Tran","jennifer.tran397@dreamhomes.com","862-347-8162","2019-03-29","CT-LIC-438491","76797.10"
3,2,"Frank","Preston","frank.preston2605@dreamhomes.com","868-465-2606","2023-04-24","NY-LIC-912897","89700.53"
4,5,"Tina","Ramirez","tina.ramirez1373@dreamhomes.com","042-121-9033","2022-12-05","CT-LIC-407662","70805.10"
5,1,"Angela","Woods","angela.woods7376@dreamhomes.com","827-652-8931","2017-07-12","NY-LIC-406179","82002.27"
6,4,"Thomas","Leach","thomas.leach9910@dreamhomes.com","546-903-4994","2019-09-19","NJ-LIC-266623","90789.05"
7,3,"Kristen","Woods","kristen.woods6052@dreamhomes.com","513-510-9587","2021-02-05","NJ-LIC-146973","72630.52"
8,6,"Vanessa","Gomez","vanessa.gomez6042@dreamhomes.com","120-788-9303","2022-05-29","CT-LIC-404437","66466.70"
9,2,"Erica","Rogers","erica.rogers3495@dreamhomes.com","924-188-0139","2018-05-01","NY-LIC-544546","75453.68"
10,5,"Joshua","Best","joshua.best1119@dreamhomes.com","007-235-3546","2017-11-21","CT-LIC-157955","89394.60"
11,1,"Crystal","Powell","crystal.powell2551@dreamhomes.com","267-188-4843","2016-06-16","NY-LIC-735979","96219.04"
12,4,"Janet","Kim","janet.kim9646@dreamhomes.com","230-764-5665","2019-08-09","NJ-LIC-361156","109893.64"
13,3,"Karen","Clark","karen.clark2103@dreamhomes.com","481-064-9429","2021-12-07","NJ-LIC-975404","78180.83"
14,6,"Katherine","Miller","katherine.miller6806@dreamhomes.com","291-343-7150","2018-03-31","CT-LIC-783264","83977.05"
15,2,"Stanley","Mooney","stanley.mooney4062@dreamhomes.com","213-811-5499","2020-08-08","NY-LIC-560130","93613.06"
16,5,"Donna","Meadows","donna.meadows3689@dreamhomes.com","120-234-0955","2020-12-21","CT-LIC-541682","73434.95"
17,1,"Jill","Carrillo","jill.carrillo7109@dreamhomes.com","522-300-2047","2018-06-02","NY-LIC-971416","93931.83"
18,4,"Damon","Gonzalez","damon.gonzalez618@dreamhomes.com","267-987-8556","2018-11-07","NJ-LIC-138593","76402.43"
19,3,"Julia","Roberson","julia.roberson8712@dreamhomes.com","022-534-3593","2018-08-06","NJ-LIC-318172","83771.06"
20,6,"Sheila","Byrd","sheila.byrd4387@dreamhomes.com","658-133-5283","2019-08-24","CT-LIC-248585","64358.59"
