transaction_reference,property_full_address,property_state,transaction_type,transaction_start_date,date_of_transaction,closing_date,status,listing_price,final_price,legal_fees,other_expenses,participant_type,participant_email,participant_name,participant_role,commission_amount
T-NJ-2018-0110,"431 William Plaza, Fort Lee, NJ",NJ,Rent,2018-01-08,2018-02-17,,expired,2974.21,,,,Agent,damon.gonzalez618@dreamhomes.com,"Gonzalez, Damon",Landlord Agent,
T-NJ-2018-0110,"431 William Plaza, Fort Lee, NJ",NJ,Rent,2018-01-08,2018-02-17,,expired,2974.21,,,,Agent,thomas.leach9910@dreamhomes.com,"Leach, Thomas",Tenant Agent,
T-NJ-2018-0110,"431 William Plaza, Fort Lee, NJ",NJ,Rent,2018-01-08,2018-02-17,,expired,2974.21,,,,Client,cassandra.collins9638@example.com,"Collins, Cassandra",Landlord,
T-NJ-2018-0099,"418 Brown Pike, Edgewater, NJ",NJ,Rent,2018-01-22,2018-02-20,,expired,3732.3,,,,Agent,janet.kim9646@dreamhomes.com,"Kim, Janet",Landlord Agent,
T-NJ-2018-0099,"418 Brown Pike, Edgewater, NJ",NJ,Rent,2018-01-22,2018-02-20,,expired,3732.3,,,,Agent,damon.gonzalez618@dreamhomes.com,"Gonzalez, Damon",Tenant Agent,
T-NJ-2018-0099,"418 Brown Pike, Edgewater, NJ",NJ,Rent,2018-01-22,2018-02-20,,expired,3732.3,,,,Client,eric.silva9746@example.com,"Silva, Eric",Landlord,
T-NJ-2018-0107,"544 Martin Hills, Hoboken, NJ",NJ,Rent,2018-02-05,2018-03-12,2018-03-20,rented,3194.01,3285.17,1973.35,982.29,Agent,bryan.riddle4780@dreamhomes.com,"Riddle, Bryan",Landlord Agent,252.58
T-NJ-2018-0107,"544 Martin Hills, Hoboken, NJ",NJ,Rent,2018-02-05,2018-03-12,2018-03-20,rented,3194.01,3285.17,1973.35,982.29,Agent,julia.roberson8712@dreamhomes.com,"Roberson, Julia",Tenant Agent,214.24
T-NJ-2018-0107,"544 Martin Hills, Hoboken, NJ",NJ,Rent,2018-02-05,2018-03-12,2018-03-20,rented,3194.01,3285.17,1973.35,982.29,Client,david.rodriguez7820@example.com,"Rodriguez, David",Landlord,
T-NJ-2018-0107,"544 Martin Hills, Hoboken, NJ",NJ,Rent,2018-02-05,2018-03-12,2018-03-20,rented,3194.01,3285.17,1973.35,982.29,Client,roberto.yates4694@example.com,"Yates, Roberto",Tenant,
T-NY-2018-0105,"322 Kristen Rapids, Long Island City, NY",NY,Rent,2018-02-13,2018-03-22,,pending rental,3692.35,,,,Agent,angela.woods7376@dreamhomes.com,"Woods, Angela",Landlord Agent,
T-NY-2018-0105,"322 Kristen Rapids, Long Island City, NY",NY,Rent,2018-02-13,2018-03-22,,pending rental,3692.35,,,,Agent,crystal.powell2551@dreamhomes.com,"Powell, Crystal",Tenant Agent,
T-NY-2018-0105,"322 Kristen Rapids, Long Island City, NY",NY,Rent,2018-02-13,2018-03-22,,pending rental,3692.35,,,,Client,eric.silva9746@example.com,"Silva, Eric",Landlord,
